Id,Term,Location Capacity,Name,Building Number,Room Number
002-0212,2188 ,49,002 Cotchett Education,002,0212
002-0212,2192 ,49,002 Cotchett Education,002,0212
002-0212,2194 ,49,002 Cotchett Education,002,0212
002-0212,2196 ,49,002 Cotchett Education,002,0212
002-0212,2198 ,49,002 Cotchett Education,002,0212
002-0212,2202 ,49,002 Cotchett Education,002,0212
002-0212,2218 ,49,002 Cotchett Education,002,0212
002-0212,2222 ,49,002 Cotchett Education,002,0212
002-0212,2224 ,49,002 Cotchett Education,002,0212
002-0213,2182 ,40,002 Cotchett Education,002,0213
002-0213,2184 ,40,002 Cotchett Education,002,0213
002-0213,2186 ,40,002 Cotchett Education,002,0213
002-0213,2188 ,40,002 Cotchett Education,002,0213
002-0213,2192 ,40,002 Cotchett Education,002,0213
002-0213,2194 ,40,002 Cotchett Education,002,0213
002-0213,2198 ,40,002 Cotchett Education,002,0213
002-0213,2202 ,40,002 Cotchett Education,002,0213
002-0213,2218 ,40,002 Cotchett Education,002,0213
002-0213,2222 ,40,002 Cotchett Education,002,0213
002-0213,2224 ,40,002 Cotchett Education,002,0213
002-0214,2182 ,48,002 Cotchett Education,002,0214
002-0214,2184 ,48,002 Cotchett Education,002,0214
002-0214,2188 ,48,002 Cotchett Education,002,0214
002-0214,2192 ,48,002 Cotchett Education,002,0214
002-0214,2194 ,48,002 Cotchett Education,002,0214
002-0214,2196 ,48,002 Cotchett Education,002,0214
002-0214,2198 ,48,002 Cotchett Education,002,0214
002-0214,2202 ,48,002 Cotchett Education,002,0214
002-0214,2218 ,48,002 Cotchett Education,002,0214
002-0214,2222 ,48,002 Cotchett Education,002,0214
002-0214,2224 ,48,002 Cotchett Education,002,0214
003-0104,2182 ,25,003 Business,003,0104
003-0104,2184 ,25,003 Business,003,0104
003-0104,2188 ,25,003 Business,003,0104
003-0104,2192 ,25,003 Business,003,0104
003-0104,2194 ,25,003 Business,003,0104
003-0104,2196 ,25,003 Business,003,0104
003-0104,2198 ,25,003 Business,003,0104
003-0104,2202 ,25,003 Business,003,0104
003-0104,2218 ,25,003 Business,003,0104
003-0104,2222 ,25,003 Business,003,0104
003-0104,2224 ,25,003 Business,003,0104
003-0107,2208 ,1,003 Business,003,0107
003-0107,2212 ,1,003 Business,003,0107
003-0107,2214 ,1,003 Business,003,0107
003-0111,2182 ,68,003 Business,003,0111
003-0111,2184 ,68,003 Business,003,0111
003-0111,2188 ,68,003 Business,003,0111
003-0111,2192 ,68,003 Business,003,0111
003-0111,2194 ,68,003 Business,003,0111
003-0111,2198 ,68,003 Business,003,0111
003-0111,2202 ,68,003 Business,003,0111
003-0111,2218 ,68,003 Business,003,0111
